24543,25,33,25,29,23
27319,32,20,32,28,22
28578,30,28,30,34,31
58952,30,28,30,26,24
60332,24,11,24,32,16
145756,33,28,33,25,26
235049,33,21,33,31,27
267618,30,17,30,27,18
278457,35,19,35,32,26
302465,25,32,25,36,30
309045,24,26,24,25,24
318957,24,26,24,34,32
335232,20,30,20,24,28
339577,21,30,21,29,28
520495,33,29,33,38,37
521472,30,21,30,24,18
644549,31,21,31,26,30
670891,34,28,34,27,29
673249,36,32,36,38,34
676559,30,24,30,29,29
678976,29,22,29,24,25
683959,32,20,32,32,33
685613,29,20,29,29,26
710399,25,27,25,34,26
720314,22,20,22,34,23
897208,21,12,21,16,29
972337,40,25,40,40,21
989356,36,24,36,31,30
1010480,24,16,24,28,16
1018795,25,20,25,26,35
1039189,27,33,27,28,21
1095213,37,4,37,30,17
1118944,27,17,27,27,28
1178982,32,26,32,25,24
1187507,30,12,30,30,27
1238455,25,30,25,27,29
1351463,30,9,30,17,19
1464851,27,22,27,27,22
1504760,26,25,26,36,36
1512642,29,23,29,35,20
1528123,26,28,26,32,29
1598412,30,27,30,30,28
1603334,31,27,31,31,32
1649274,25,15,25,28,29
1736631,25,32,25,27,19
1816865,38,32,38,27,29
1861966,24,26,24,24,23
1871729,34,23,34,35,23
1904131,28,22,28,24,19
1966409,31,20,31,35,24
1982435,25,17,25,22,18
2183435,26,25,26,29,26
2244193,15,29,15,14,34
2271089,25,23,25,24,23
2291958,29,32,29,27,33
2298151,28,25,28,26,20
2499506,22,20,22,23,21
2550657,31,25,31,31,22
2553909,24,24,24,24,24
2569839,29,23,29,33,25
2761696,40,31,40,41,36
2822262,24,24,24,22,24
2884507,23,17,23,39,27
2892007,33,17,33,33,26
2913937,22,22,22,22,22
3005827,25,18,25,30,25
3005837,27,22,27,26,29
3011968,23,10,23,20,22
3018218,26,22,26,24,23
3021593,33,25,33,24,27
3030713,26,22,26,24,21
3037332,30,25,30,33,17
3046611,10,5,10,27,33
3050149,29,23,29,26,23
3064724,24,16,24,24,21
3075893,23,11,23,35,31
3084420,29,17,29,19,23
3091385,27,25,27,29,29
3102992,25,28,25,25,24
3115861,24,29,24,27,29
3117574,28,22,28,33,28
3127300,29,22,29,20,22
3131454,28,13,28,22,26
3141358,35,32,35,36,33
3154721,35,20,35,28,30
3155756,31,21,31,28,23
3156694,25,24,25,32,21
3171663,21,18,21,35,29
3177776,22,15,22,19,16
3211643,25,34,25,31,25
3232614,31,23,31,31,30
3269726,32,30,32,18,27
3270046,42,31,42,26,28
3275022,25,24,25,26,29
3279297,24,19,24,25,17
3283486,25,22,25,22,19
3287105,20,43,20,36,36
3296760,37,25,37,26,31
3311231,28,26,28,23,30
3338310,32,23,32,24,27
3354260,22,22,22,25,18
3364925,24,23,24,22,35
3366063,41,31,41,32,33
